"card","pools","type","rarity","cost","target","keywords","coverage","confidence","needed_editor_effects","blockers_or_review_points","source_primitives","applied_powers","dynamic_vars","override_methods","note","source_file"
"HiddenCache","Regent","Skill","Common","1","Self","","Exact","High","GainStars; ApplyPower; ApplyPower:StarNextTurnPower","supported primitives only","GainStars;ApplyPower","StarNextTurnPower","DynamicVar;PowerVar;StarsVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\HiddenCache.cs"
"IAmInvincible","Regent","Skill","Rare","1","Self","","Almost","Medium","GainBlock; PlayCardFromPile","conditional branch; pile scan","GainBlock;PlayCardFromPile","","BlockVar","AfterTurnEnd;OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\IAmInvincible.cs"
"KinglyKick","Regent","Attack","Uncommon","4","AnyEnemy","","Almost","Medium","DealDamage","conditional branch","DealDamage","","DamageVar","AfterCardDrawn;OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\KinglyKick.cs"
"KinglyPunch","Regent","Attack","Uncommon","1","AnyEnemy","","Almost","Medium","DealDamage","conditional branch","DealDamage","","DamageVar;DynamicVar","AfterCardDrawn;AfterDowngraded;OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\KinglyPunch.cs"
"KnockoutBlow","Regent","Attack","Uncommon","3","AnyEnemy","","Almost","Medium","DealDamage; GainStars","conditional branch","DealDamage;GainStars","","DamageVar;DynamicVar;StarsVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\KnockoutBlow.cs"
"KnowThyPlace","Regent","Skill","Common","0","AnyEnemy","Exhaust","Exact","High","ApplyVulnerable; ApplyWeak","supported primitives only","ApplyVulnerable;ApplyWeak","VulnerablePower;WeakPower","DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\KnowThyPlace.cs"
"Largesse","Regent","Skill","Uncommon","0","AnyAlly","","Partial","High","AddRandomCardToHand; CreatedCardsUpgraded","generated card target player","AddSpecificCardToHand;UpgradeCardsInPile","","","OnPlay","Generated-card rows currently create cards for the source owner, not the selected ally/player target.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Largesse.cs"
"LunarBlast","Regent","Attack","Uncommon","0","AnyEnemy","","Almost","Medium","DealDamage","calculated amount","DealDamage","","CalculatedVar;CalculationBaseVar;CalculationExtraVar;DamageVar;DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\LunarBlast.cs"
"MakeItSo","Regent","Attack","Rare","0","AnyEnemy","","Almost","Medium","DealDamage; MoveCardsBetweenPiles","combat history count; conditional branch","DealDamage;MoveCardsBetweenPiles","","CardsVar;DamageVar;DynamicVar","AfterCardPlayedLate;OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\MakeItSo.cs"
"ManifestAuthority","Regent","Skill","Uncommon","1","Self","","Exact","High","GainBlock; AddRandomCardToHand; CreatedCardsUpgraded","","GainBlock;AddSpecificCardToHand;UpgradeCardsInPile","","BlockVar","OnPlay;OnUpgrade","Gain block, add a random Colorless card to hand; upgrade can upgrade the generated card.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\ManifestAuthority.cs"
"MeteorShower","Regent","Attack","Ancient","0","AllEnemies","","Exact","High","DealDamage; ApplyVulnerable; ApplyWeak","supported primitives only","DealDamage;ApplyVulnerable;ApplyWeak","VulnerablePower;WeakPower","DamageVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\MeteorShower.cs"
"MonarchsGaze","Regent","Power","Rare","3","Self","","Exact","High","ApplyPower; ApplyPower:MonarchsGazePower","supported primitives only","ApplyPower","MonarchsGazePower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\MonarchsGaze.cs"
"Monologue","Regent","Skill","Uncommon","0","Self","Retain","Almost","Medium","ApplyPower; ApplyPower:MonologuePower","conditional branch","ApplyPower","MonologuePower","DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Monologue.cs"
"NeutronAegis","Regent","Power","Rare","1","Self","","Exact","High","GainPlating","supported primitives only","GainPlating","PlatingPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\NeutronAegis.cs"
"Orbit","Regent","Power","Uncommon","2","Self","","Exact","High","ApplyPower; ApplyPower:OrbitPower","supported primitives only","ApplyPower","OrbitPower","EnergyVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Orbit.cs"
"PaleBlueDot","Regent","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:PaleBlueDotPower","supported primitives only","ApplyPower","PaleBlueDotPower","CardsVar;DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PaleBlueDot.cs"
"Parry","Regent","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:ParryPower","supported primitives only","ApplyPower","ParryPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Parry.cs"
"ParticleWall","Regent","Skill","Uncommon","0","Self","","Almost","Medium","GainBlock","conditional branch","GainBlock","","BlockVar","GetResultPileType;OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\ParticleWall.cs"
"Patter","Regent","Skill","Common","1","Self","","Exact","High","GainBlock; GainVigor","supported primitives only","GainBlock;GainVigor","VigorPower","BlockVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Patter.cs"
"PhotonCut","Regent","Attack","Common","1","AnyEnemy","","Exact","High","DealDamage; DrawCards; MoveCardsBetweenPiles","","DealDamage;DrawCards;MoveCardsBetweenPiles","","CardsVar;DamageVar;DynamicVar","OnPlay;OnUpgrade","Deal damage, draw 1/2, then put one selected hand card on top of draw pile.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PhotonCut.cs"
"PillarOfCreation","Regent","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:PillarOfCreationPower","supported primitives only","ApplyPower","PillarOfCreationPower","BlockVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PillarOfCreation.cs"
"Prophesize","Regent","Skill","Uncommon","2","Self","","Exact","High","DrawCards","supported primitives only","DrawCards","","CardsVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Prophesize.cs"
"Quasar","Regent","Skill","Uncommon","0","Self","","Exact","High","ChooseOneOfThreeCardsToHand; CreatedCardsUpgraded","","AddSpecificCardToHand;UpgradeCardsInPile","","","OnPlay","Choose 1 of 3 distinct Colorless cards, skip allowed; upgrade can upgrade the offered/created card.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Quasar.cs"
"Radiate","Regent","Attack","Uncommon","0","AllEnemies","","Almost","Medium","DealDamage","calculated amount","DealDamage","","CalculatedVar;CalculationBaseVar;CalculationExtraVar;DamageVar;DynamicVar;StarsVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Radiate.cs"
"RefineBlade","Regent","Skill","Common","1","Self","","Exact","High","Forge; ApplyPower; ApplyPower:EnergyNextTurnPower","supported primitives only","Forge;ApplyPower","EnergyNextTurnPower","DynamicVar;EnergyVar;ForgeVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\RefineBlade.cs"
"Reflect","Regent","Skill","Uncommon","1","Self","","Exact","High","GainBlock; ApplyPower; ApplyPower:ReflectPower","supported primitives only","GainBlock;ApplyPower","ReflectPower","BlockVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Reflect.cs"
"Resonance","Regent","Skill","Uncommon","1","AllEnemies","","Almost","Medium","GainStrength","loop/repeat","GainStrength","StrengthPower","PowerVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Resonance.cs"
"RoyalGamble","Regent","Skill","Uncommon","0","Self","Exhaust;Retain","Exact","High","GainStars","supported primitives only","GainStars","","StarsVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\RoyalGamble.cs"
"Royalties","Regent","Power","Rare","1","Self","","Exact","High","ApplyPower; ApplyPower:RoyaltiesPower","supported primitives only","ApplyPower","RoyaltiesPower","GoldVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Royalties.cs"
"SeekingEdge","Regent","Power","Rare","1","Self","","Exact","High","Forge; ApplyPower; ApplyPower:SeekingEdgePower","supported primitives only","Forge;ApplyPower","SeekingEdgePower","ForgeVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SeekingEdge.cs"
"SevenStars","Regent","Attack","Rare","2","AllEnemies","","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar;DynamicVar;RepeatVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SevenStars.cs"
"ShiningStrike","Regent","Attack","Uncommon","1","AnyEnemy","Exhaust","Almost","Medium","DealDamage; GainStars; MoveCardsBetweenPiles","conditional branch","DealDamage;GainStars;MoveCardsBetweenPiles","","DamageVar;DynamicVar;StarsVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\ShiningStrike.cs"
"SolarStrike","Regent","Attack","Common","1","AnyEnemy","","Exact","High","DealDamage; GainStars","supported primitives only","DealDamage;GainStars","","DamageVar;DynamicVar;StarsVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SolarStrike.cs"
"SpectrumShift","Regent","Power","Uncommon","2","Self","","Exact","High","ApplyPower; ApplyPower:SpectrumShiftPower","supported primitives only","ApplyPower","SpectrumShiftPower","CardsVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SpectrumShift.cs"
"SpoilsOfBattle","Regent","Skill","Common","1","Self","","Exact","High","DrawCards; Forge","supported primitives only","DrawCards;Forge","","CardsVar;DynamicVar;ForgeVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SpoilsOfBattle.cs"
"Stardust","Regent","Attack","Uncommon","0","RandomEnemy","","Almost","Medium","DealDamage","randomness","DealDamage","","DamageVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Stardust.cs"
"StrikeRegent","Regent","Attack","Basic","1","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\StrikeRegent.cs"
"SummonForth","Regent","Skill","Uncommon","1","Self","Retain","Almost","Medium","Forge; MoveCardsBetweenPiles","loop/repeat","Forge;MoveCardsBetweenPiles","","ForgeVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SummonForth.cs"
"Supermassive","Regent","Attack","Uncommon","1","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Supermassive.cs"
"SwordSage","Regent","Power","Rare","2","Self","","Exact","High","ApplyPower; ApplyPower:SwordSagePower","supported primitives only","ApplyPower","SwordSagePower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SwordSage.cs"
"Terraforming","Regent","Skill","Uncommon","1","Self","","Exact","High","GainVigor","supported primitives only","GainVigor","VigorPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Terraforming.cs"
"TheSealedThrone","Regent","Power","Ancient","1","Self","Innate","Exact","High","ApplyPower; ApplyPower:TheSealedThronePower","supported primitives only","ApplyPower","TheSealedThronePower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\TheSealedThrone.cs"
"TheSmith","Regent","Skill","Rare","1","Self","","Exact","High","Forge","supported primitives only","Forge","","ForgeVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\TheSmith.cs"
"Tyranny","Regent","Power","Rare","1","Self","Exhaust;Innate","Exact","High","ApplyPower; ApplyPower:TyrannyPower","supported primitives only","ApplyPower","TyrannyPower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Tyranny.cs"
"Venerate","Regent","Skill","Basic","1","Self","","Exact","High","GainStars","supported primitives only","GainStars","","StarsVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Venerate.cs"
"VoidForm","Regent","Power","Rare","3","Self","Ethereal","Exact","High","EndTurn; ApplyPower; ApplyPower:VoidFormPower","supported primitives only","EndTurn;ApplyPower","VoidFormPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\VoidForm.cs"
"WroughtInWar","Regent","Attack","Common","1","AnyEnemy","","Exact","High","DealDamage; Forge","supported primitives only","DealDamage;Forge","","DamageVar;DynamicVar;ForgeVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\WroughtInWar.cs"
"Afterlife","Necrobinder","Skill","Common","1","Self","Exhaust","Exact","High","Summon","supported primitives only","Summon","","SummonVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Afterlife.cs"
"BansheesCry","Necrobinder","Attack","Rare","9","AllEnemies","Ethereal","Almost","Medium","DealDamage","combat history count; conditional branch","DealDamage","","DamageVar;DynamicVar;EnergyVar","AfterCardEnteredCombat;AfterCardPlayed;OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BansheesCry.cs"
"BlightStrike","Necrobinder","Attack","Common","1","AnyEnemy","","Exact","High","DealDamage; ApplyDoom","supported primitives only","DealDamage;ApplyDoom","DoomPower","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BlightStrike.cs"
"Bodyguard","Necrobinder","Skill","Basic","1","Self","","Exact","High","Summon","supported primitives only","Summon","","SummonVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Bodyguard.cs"
"BoneShards","Necrobinder","Attack","Uncommon","1","AllEnemies","","Almost","Medium","DealDamage; GainBlock","conditional branch","DealDamage;GainBlock","","BlockVar;DynamicVar;OstyDamageVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BoneShards.cs"
"BorrowedTime","Necrobinder","Skill","Uncommon","1","Self","","Exact","High","GainEnergy; ApplyPower; ApplyPower:BorrowedTimePower","supported primitives only","GainEnergy;ApplyPower","BorrowedTimePower","DynamicVar;EnergyVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BorrowedTime.cs"
"Bury","Necrobinder","Attack","Uncommon","4","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Bury.cs"
"Calcify","Necrobinder","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:CalcifyPower","supported primitives only","ApplyPower","CalcifyPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Calcify.cs"
"CallOfTheVoid","Necrobinder","Power","Rare","1","Self","Ethereal;Innate","Exact","High","ApplyPower; ApplyPower:CallOfTheVoidPower","supported primitives only","ApplyPower","CallOfTheVoidPower","CardsVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\CallOfTheVoid.cs"
"CaptureSpirit","Necrobinder","Skill","Uncommon","1","AnyEnemy","","Almost","Medium","LoseHp; AddSpecificCardToHand","randomness","LoseHp;AddSpecificCardToHand","","CardsVar;DamageVar;DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\CaptureSpirit.cs"
"Cleanse","Necrobinder","Skill","Uncommon","1","Self","Exhaust","Exact","High","Summon; ExhaustCards","","Summon;ExhaustCards","","SummonVar","OnPlay;OnUpgrade","Summon Osty amount, then choose one draw-pile card to exhaust.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Cleanse.cs"
"Countdown","Necrobinder","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:CountdownPower","supported primitives only","ApplyPower","CountdownPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Countdown.cs"
"DanseMacabre","Necrobinder","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:DanseMacabrePower","supported primitives only","ApplyPower","DanseMacabrePower","DynamicVar;EnergyVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\DanseMacabre.cs"
"DeathMarch","Necrobinder","Attack","Uncommon","1","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\DeathMarch.cs"
"Deathbringer","Necrobinder","Skill","Uncommon","2","AllEnemies","","Exact","High","ApplyDoom; ApplyWeak","supported primitives only","ApplyDoom;ApplyWeak","DoomPower;WeakPower","DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Deathbringer.cs"
"DeathsDoor","Necrobinder","Skill","Uncommon","1","Self","","Almost","Medium","GainBlock","conditional branch; loop/repeat","GainBlock","","BlockVar;DynamicVar;RepeatVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\DeathsDoor.cs"
"Debilitate","Necrobinder","Attack","Uncommon","1","AnyEnemy","","Exact","High","DealDamage; ApplyPower; ApplyPower:DebilitatePower","supported primitives only","DealDamage;ApplyPower","DebilitatePower","DamageVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Debilitate.cs"
"DefendNecrobinder","Necrobinder","Skill","Basic","1","Self","","Exact","High","GainBlock","supported primitives only","GainBlock","","BlockVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\DefendNecrobinder.cs"
